Unnamed: 0,user,timestamp,hours,project
3833,stannis,2018-10-02 00:00:00 UTC,0.47,project-10
3390,tyrion,2018-10-08 00:00:00 UTC,3.22,learning
14661,tormund,2018-02-14 13:08:00 UTC,1.0,learning
10007,talisa,2018-07-09 00:00:00 UTC,0.5,opsandadmin
15120,littlefinger,2018-01-29 00:00:00 UTC,5.0,opsandadmin
12098,theon,2018-05-15 14:19:54 UTC,3.0,project-20
14457,littlefinger,2018-02-22 11:53:00 UTC,1.0,opsandadmin
17441,jorah,2017-10-17 11:13:04 UTC,0.5,datastorytelling
9551,khal,2018-07-16 09:53:56 UTC,5.0,project-10
9455,varys,2018-07-17 00:00:00 UTC,2.0,project-10
49,jaime,2018-11-26 12:11:58 UTC,0.57,opsandadmin
3956,bronn,2018-10-01 00:00:00 UTC,1.0,project-43
10295,davos,2018-07-03 15:39:05 UTC,1.5,project-29
13483,littlefinger,2018-04-05 10:53:25 UTC,4.0,cultureandmanagement
17346,ned,2017-10-21 15:13:00 UTC,0.5,project-37
1026,catelyn,2018-11-09 01:57:43 UTC,0.25,opsandadmin
12641,theon,2018-04-27 00:00:00 UTC,4.5,project-65
1031,joffrey,2018-11-09 01:10:31 UTC,0.25,bizdev
3132,sansa,2018-10-10 10:19:05 UTC,2.7,project-25
17662,robert,2017-10-10 00:00:00 UTC,0.5,bizdev
8323,khal,2018-08-02 00:00:00 UTC,4.0,project-10
14295,jorah,2018-03-05 10:50:04 UTC,2.0,opsandadmin
19781,davos,2017-07-31 08:47:52 UTC,1.0,opsandadmin
14632,davos,2018-02-15 09:56:12 UTC,6.0,project-40
8191,viserys,2018-08-03 10:57:53 UTC,1.17,transit
16043,robert,2017-12-14 00:00:00 UTC,2.0,opsandadmin
14028,jorah,2018-03-16 02:07:01 UTC,0.75,project-65
16936,ned,2017-11-09 11:10:07 UTC,1.0,bizdev
13372,hound,2018-04-10 10:37:08 UTC,1.0,workshops
1093,jon,2018-11-08 00:00:00 UTC,0.25,cultureandmanagement
3386,tyrion,2018-10-08 00:00:00 UTC,0.53,bizdev
17478,robert,2017-10-16 10:09:05 UTC,1.0,bizdev
5417,robb,2018-09-12 10:01:28 UTC,2.0,project-01
20270,jaime,2017-07-06 18:50:21 UTC,7.0,project-13
18711,jorah,2017-09-06 13:48:47 UTC,2.5,project-06
12000,ned,2018-05-17 13:25:32 UTC,1.5,bizdev
197,stannis,2018-11-22 00:00:00 UTC,0.6,project-10
12946,theon,2018-04-19 13:51:56 UTC,6.0,project-68
7578,shae,2018-08-13 14:01:16 UTC,0.5,opsandadmin
17878,jaime,2017-10-03 09:10:00 UTC,4.0,project-47
6948,daenerys,2018-08-22 11:29:59 UTC,1.5,learning
20382,littlefinger,2017-07-03 11:33:34 UTC,1.5,project-13
1512,jorah,2018-10-31 11:45:00 UTC,0.5,opsandadmin
19716,ramsay,2017-08-01 11:30:33 UTC,4.0,project-13
6737,sansa,2018-08-24 12:57:26 UTC,2.25,bizdev
14400,theon,2018-02-26 14:05:00 UTC,5.0,workshops
16968,ned,2017-11-08 10:19:50 UTC,0.5,project-55
17821,ramsay,2017-10-04 10:48:00 UTC,4.25,project-48
5761,daenerys,2018-09-07 12:28:40 UTC,4.5,project-51
12203,gendry,2018-05-11 07:39:17 UTC,2.0,project-68
12644,catelyn,2018-04-27 00:00:00 UTC,6.5,datastorytelling
738,tyrion,2018-11-14 00:00:00 UTC,2.13,learning
2893,ned,2018-10-12 11:22:30 UTC,4.0,events
3066,daenerys,2018-10-11 00:00:00 UTC,0.5,project-51
14300,jaime,2018-03-05 10:24:49 UTC,1.0,hiring
9409,catelyn,2018-07-17 13:00:00 UTC,0.22,project-38
2191,jon,2018-10-22 13:14:41 UTC,0.25,project-25
17314,jaime,2017-10-23 12:22:58 UTC,2.0,bizdev
14319,shae,2018-03-05 00:00:00 UTC,7.0,project-30
7202,viserys,2018-08-17 10:30:37 UTC,0.83,opsandadmin
17453,shae,2017-10-17 09:00:09 UTC,3.0,learning
264,theon,2018-11-21 14:23:11 UTC,0.5,blogideas
15198,theon,2018-01-24 10:02:00 UTC,7.5,project-40
2905,theon,2018-10-12 11:15:00 UTC,4.0,blogideas
17293,jorah,2017-10-24 10:27:01 UTC,10.0,workshops
10327,catelyn,2018-07-03 10:18:16 UTC,0.3,project-10
4853,catelyn,2018-09-19 12:07:49 UTC,1.8,project-00
1805,davos,2018-10-26 00:00:00 UTC,0.75,project-65
15876,brienne,2017-12-20 00:00:00 UTC,1.0,workshops
11254,ned,2018-06-10 07:36:32 UTC,2.0,learning
20497,robert,2010-10-04 00:00:00 UTC,1.5,bizdev
8633,sansa,2018-07-27 15:47:30 UTC,2.0,learning
12927,gendry,2018-04-20 09:35:40 UTC,1.25,project-68
8744,sansa,2018-07-26 15:30:25 UTC,2.0,learning
2096,bran,2018-10-23 09:34:19 UTC,1.43,project-25
12470,bronn,2018-05-03 08:50:42 UTC,1.5,project-55
10338,viserys,2018-07-03 10:13:40 UTC,0.5,learning
15312,davos,2018-01-19 10:16:02 UTC,0.5,workshops
5791,tyrion,2018-09-07 00:00:00 UTC,0.25,bizdev
16816,jaime,2017-11-17 08:38:19 UTC,8.0,bizdev
8725,jorah,2018-07-26 16:49:25 UTC,4.5,project-27
13423,joffrey,2018-04-06 16:02:48 UTC,8.5,project-00
8238,varys,2018-08-02 15:42:49 UTC,1.0,cultureandmanagement
